"Share of RES in total generation (%)","5.67","4.27","17.73","0.21","0.06","7.35"
"Share of Non-fossil fuel (Hydro, Nuclear and RES) in total generation (%)","26.78","7.79","34.25","12.70","26.37","19.52"
