"","NR","WR","SR","ER","NER","TOTAL"
"Schedule(MU)","233.0","-171.7","16.8","-70.6","-1.9","5.6"
"Actual(MU)","245.0","-167.8","-5.6","-64.1","-2.6","4.9"
"O/D/U/D(MU)","12.0","3.9","-22.4","6.5","-0.7","-0.7"
