"Share of RES in total generation (%)","7.01","3.01","15.31","0.41","0.06","6.30"
"Share of Non-fossil fuel (Hydro, Nuclear and RES) in total generation (%)","35.34","13.85","36.30","23.93","38.42","26.27"
