"Share of RES in total generation (%)","8.13","3.26","15.95","0.19","0.10","6.98"
"Share of Non-fossil fuel (Hydro, Nuclear and RES) in total generation (%)","27.05","6.58","29.29","6.38","17.70","16.80"
