"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","9163","0","204.7","122.4","0.9","157"
"","Haryana","8258","0","165.3","103.5","-2.3","382"
"","Rajasthan","6563","0","138.0","30.1","-1.4","154"
"","Delhi","4768","133","98.9","76.4","-1.0","243"
"","UP","11099","3070","241.1","131.9","4.1","560"
"","Uttarakhand","1657","120","35.1","16.4","-0.5","103"
"","HP","1184","0","25.3","-1.7","-0.1","111"
"","J&K","1609","100","32.9","15.8","2.3","308"
"","Chandigarh","312","0","6.2","5.4","0.7","77"
"WR","Chhattisgarh","2672","261","61.8","18.4","2.1","236"
"","Gujarat","10181","46","219.0","32.3","1.2","688"
"","MP","6049","37","122.3","59.5","0.5","222"
"","Maharashtra","16819","55","307.3","116.4","3.6","580"
"","Goa","374","0","7.6","6.9","0.1","34"
"","DD","256","0","5.5","5.4","0.1","47"
"","DNH","668","0","14.9","14.9","0.0","120"
"","Essar steel","314","0","6.8","7.0","-0.2","11"
"SR","Andhra Pradesh","6175","300","147.7","35.1","5.8","402"
"","Telangana","6267","600","146.0","64.4","5.9","336"
"","Karnataka","7729","300","157.8","21.7","0.9","271"
"","Kerala","3001","150","54.6","26.8","1.8","201"
"","Tamil Nadu","12137","0","256.0","74.3","0.7","379"
"","Pondy","320","0","6.3","6.4","0.0","22"
"ER","Bihar","2308","0","47.4","45.2","0.8","325"
"","DVC","2439","250","54.2","-6.2","1.1","395"
"","Jharkhand","1000","0","20.2","12.7","-0.2","85"
"","Odisha","3553","0","71.2","21.5","1.0","435"
"","West Bengal","7224","13","144.2","45.8","1.4","465"
"","Sikkim","83","0","1.1","1.2","-0.1","30"
"NER","Arunachal Pradesh","107","2","1.7","1.9","-0.1","42"
"","Assam","1182","180","24.8","16.8","2.7","143"
"","Manipur","130","2","1.7","2.3","-0.7","36"
"","Meghalaya","271","4","4.3","1.4","-0.4","22"
"","Mizoram","78","2","1.1","1.2","-0.4","11"
"","Nagaland","116","1","1.7","1.7","-0.3","17"
"","Tripura","218","8","3.0","1.9","-0.5","53"
