"","NR","WR","SR","ER","NER"
"Schedule(MU)","97.5","-66.6","43.8","-75.7","1.5"
"Actual(MU)","119.0","-87.4","37.9","-74.7","3.0"
"O/D/U/D(MU)","21.5","-20.8","-5.9","1.0","1.5"
