"","NR","WR","SR","ER","NER"
"Schedule(MU)","151.9","-114.0","39.0","-82.7","7.3"
"Actual(MU)","158.4","-135.6","45.8","-80.1","10.2"
"O/D/U/D(MU)","6.5","-21.6","6.8","2.7","2.9"
