"","NR","WR","SR","ER","NER"
"Schedule(MU)","89.7","-89.8","51.0","-45.1","-9.5"
"Actual(MU)","98.1","-110.1","56.6","-34.6","-10.4"
"O/D/U/D(MU)","8.4","-20.3","5.6","10.5","-0.9"
