"","NR","WR","SR","ER","NER"
"Schedule(MU)","107.9","-87.3","26.4","-55.6","7.5"
"Actual(MU)","107.9","-88.7","30.8","-59.9","9.0"
"O/D/U/D(MU)","0.0","-1.4","4.4","-4.3","1.5"
