"Share of RES in total generation (%)","13.83","5.84","20.48","1.00","0.10","10.08"
"Share of Non-fossil fuel (Hydro,Nuclear and RES) in total generation(%)","43.69","13.21","39.77","12.57","8.61","25.53"
