"","NR","WR","SR","ER","NER","TOTAL"
"Schedule(MU)","148.2","-192.3","130.3","-83.1","-3.1","0.1"
"Actual(MU)","140.5","-199.1","133.7","-77.6","-2.0","-4.4"
"O/D/U/D(MU)","-7.6","-6.8","3.4","5.5","1.1","-4.5"
