"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","8252","0","182.7","115.3","0.1","295"
"","Haryana","7197","0","145.8","114.9","-2.1","123"
"","Rajasthan","8468","51","190.4","64.4","3.5","427"
"","Delhi","4889","0","96.0","76.2","-1.6","105"
"","UP","12042","3505","284.1","141.4","2.1","429"
"","Uttarakhand","1782","0","38.6","15.1","0.3","116"
"","HP","1215","0","25.5","1.7","0.0","86"
"","J&K","1901","475","39.1","24.3","-0.3","231"
"","Chandigarh","254","0","5.3","5.7","0.3","15"
"WR","Chhattisgarh","3150","96","72.5","26.9","-1.2","273"
"","Gujarat","13991","0","313.5","63.4","-3.2","463"
"","MP","6330","0","138.6","87.0","-2.5","235"
"","Maharashtra","18284","160","403.1","139.2","1.9","345"
"","Goa","379","0","8.5","7.4","0.4","89"
"","DD","292","0","6.7","6.2","0.4","45"
"","DNH","702","0","16.5","16.5","0.1","20"
"","Essar steel","430","0","9.0","8.4","0.6","150"
"SR","Andhra Pradesh","6461","0","151.1","32.3","4.1","500"
"","Telangana","5972","0","137.1","93.6","-1.0","240"
"","Karnataka","8311","600","173.4","23.4","1.1","293"
"","Kerala","2917","0","54.4","35.1","1.1","226"
"","Tamil Nadu","12637","0","281.0","93.0","-2.2","487"
"","Pondy","319","0","6.9","7.0","0.0","26"
"ER","Bihar","2975","0","62.4","61.4","-0.7","320"
"","DVC","2565","0","59.2","-12.9","1.1","370"
"","Jharkhand","1034","0","21.3","13.3","-0.7","155"
"","Odisha","3141","0","65.3","18.1","-1.0","360"
"","West Bengal","6739","0","123.8","44.3","0.5","325"
"","Sikkim","60","0","1.0","1.4","-0.4","30"
"NER","Arunachal Pradesh","94","1","1.2","1.2","0.0","40"
"","Assam","1290","158","27.9","20.0","3.9","217"
"","Manipur","130","2","1.8","2.0","-0.2","34"
"","Meghalaya","277","1","4.4","1.1","-0.4","54"
"","Mizoram","78","1","1.2","1.0","0.2","28"
"","Nagaland","121","3","1.8","1.5","0.3","66"
"","Tripura","221","3","3.0","1.3","-0.2","42"
