"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","5279","0","112.1","66.3","1.9","225"
"","Haryana","6007","437","115.3","57.5","6.2","681"
"","Rajasthan","6933","0","151.1","76.5","-2.6","298"
"","Delhi","3803","0","75.8","54.0","4.3","506"
"","UP","9568","2870","211.6","91.1","-5.7","297"
"","Uttarakhand","1432","155","27.4","12.7","1.2","171"
"","HP","1255","0","24.3","9.6","3.2","469"
"","J&K","1863","100","35.1","20.8","1.8","429"
"","Chandigarh","215","0","4.0","3.7","0.3","29"
"WR","Chhattisgarh","2621","19","58.8","9.0","-1.3","256"
"","Gujarat","10272","11","222.8","44.1","-3.3","920"
"","MP","6333","0","126.1","49.9","-1.6","654"
"","Maharashtra","15489","123","344.4","102.3","-3.3","304"
"","Goa","396","0","8.4","7.0","0.9","25"
"","DD","267","0","6.3","6.0","0.3","52"
"","DNH","637","0","14.7","14.6","0.1","40"
"","Essar steel","324","0","6.4","6.3","0.1","51"
"SR","Andhra Pradesh","10400","1500","236.2","77.9","4.5","553"
"","Karnataka","7323","300","155.4","15.6","-1.0","116"
"","Kerala","3079","150","57.6","20.8","1.0","420"
"","Tamil Nadu","11137","672","248.9","69.4","-1.2","337"
"","Pondy","289","59","6.1","5.9","0.2","39"
"ER","Bihar","1895","250","31.3","37.7","-6.4","30"
"","DVC","2415","0","49.8","-17.0","1.9","375"
"","Jharkhand","1018","186","18.6","12.9","0.0","280"
"","Odisha","2942","0","55.4","10.6","0.5","410"
"","West Bengal","6134","0","114.6","34.3","-1.4","0"
"","Sikkim","116","0","1.1","1.6","-0.4","2"
"NER","Arunachal Pradesh","96","1","1.4","1.1","0.2","51"
"","Assam","1150","68","21.5","12.4","4.1","263"
"","Manipur","94","1","1.4","1.9","-0.4","30"
"","Meghalaya","250","2","4.3","1.2","0.3","88"
"","Mizoram","56","4","1.1","0.9","0.0","27"
"","Nagaland","95","1","1.5","1.0","0.3","26"
"","Tripura","236","0","3.9","0.9","0.3","47"
