"","NR","WR","SR","ER","NER"
"Schedule(MU)","103.2","-92.6","40.2","-57.6","9.4"
"Actual(MU)","110.9","-111.6","45.2","-59.8","12.4"
"O/D/U/D(MU)","7.7","-19.0","5.0","-2.2","3.0"
