"Region","<49.2","<49.7","49.7-49.8","49.8-49.9","<49.9","49.9-50.05","> 50.05"
"NEW GRID","0.00","0.27","0.90","4.42","5.59","65.35","30.06"
"SR GRID","0.00","0.27","0.90","4.42","5.59","65.35","B. Frequency Profile (%)30.06"
