"","NR","WR","SR","ER","NER"
"Schedule(MU)","101.3","-60.5","33.6","-82.5","8.2"
"Actual(MU)","101.5","-69.0","33.7","-77.0","10.2"
"O/D/U/D(MU)","0.2","-8.5","0.1","5.5","2.0"
