"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","6718","0","144.1","87.2","1.6","849"
"","Haryana","6013","0","133.5","83.5","1.2","730"
"","Rajasthan","7558","0","160.4","54.9","-7.1","0"
"","Delhi","4578","0","95.5","67.9","-2.4","126"
"","UP","11214","1390","249.2","106.3","-1.0","702"
"","Uttarakhand","1640","35","34.3","19.3","0.4","171"
"","HP","1165","0","24.7","8.8","-1.4","166"
"","J&K","1504","100","32.3","19.8","-0.7","236"
"","Chandigarh","267","0","5.3","5.0","0.3","42"
"WR","Chhattisgarh","3106","57","70.2","18.0","-1.6","267"
"","Gujarat","11943","23","266.2","44.4","-0.3","280"
"","MP","6878","2","140.2","78.0","-2.7","217"
"","Maharashtra","16192","526","364.8","107.6","10.9","690"
"","Goa","377","35","8.3","7.4","0.5","86"
"","DD","252","0","5.6","6.0","-0.4","52"
"","DNH","566","0","13.4","12.9","0.5","43"
"SR","Andhra Pradesh","10300","2500","239.2","82.3","3.4","297"
"","Karnataka","7880","500","168.5","26.0","-0.1","213"
"","Kerala","3013","500","60.2","41.2","2.0","280"
"","Tamil Nadu","10615","1717","233.5","58.1","1.8","558"
"","Pondy","305","0","6.6","7.3","-0.7","17"
"ER","Bihar","1766","600","31.8","36.5","-4.7","260"
"","DVC","2571","0","57.2","-20.9","0.2","200"
"","Jharkhand","1300","0","19.8","10.7","-1.1","150"
"","Odisha","3679","0","70.2","8.8","0.8","340"
"","West Bengal","5695","0","120.0","26.4","-2.4","520"
"","Sikkim","123","0","1.4","1.6","-0.2","0"
"NER","Arunachal Pradesh","99","1","1.4","1.4","0.0","37"
"","Assam","1010","164","18.1","11.7","0.0","170"
"","Manipur","90","2","1.3","1.7","-0.5","11"
"","Meghalaya","212","8","4.5","2.0","-0.6","66"
"","Mizoram","60","1","0.9","1.0","0.0","14"
"","Nagaland","89","1","1.2","1.3","-0.2","15"
"","Tripura","212","5","2.2","0.8","-0.2","51"
