"","NR","WR","SR","ER","NER"
"Schedule(MU)","126.2","-112.2","29.9","-50.7","4.8"
"Actual(MU)","128.3","-124.1","27.0","-42.1","7.8"
"O/D/U/D(MU)","2.1","-11.9","-2.9","8.6","3.0"
