"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","5733","0","116.9","25.3","-0.3","56","0.0"
"","Haryana","5993","0","124.8","49.8","2.4","243","0.0"
"","Rajasthan","9534","0","183.5","53.0","-0.3","212","0.0"
"","Delhi","3295","0","66.7","51.6","-0.2","168","0.0"
"","UP","14592","505","300.0","110.4","1.1","556","0.0"
"","Uttarakhand","1818","0","35.8","27.7","0.7","185","0.0"
"","HP","1472","0","26.5","20.3","0.8","142","0.1"
"","J&K","2099","525","43.4","39.6","-1.9","145","10.2"
"","Chandigarh","169","0","3.1","3.0","0.1","34","0.0"
"WR","Chhattisgarh","3837","0","87.6","15.8","-2.1","86","0.0"
"","Gujarat","15190","0","327.3","173.5","0.2","493","0.0"
"","MP","8748","0","177.3","81.6","-1.5","184","0.0"
"","Maharashtra","20961","0","458.3","134.4","-0.4","584","0.0"
"","Goa","473","0","9.6","9.8","-0.9","12","0.0"
"","DD","331","0","7.5","7.3","0.2","47","0.0"
"","DNH","761","0","17.8","17.0","0.8","63","0.0"
"","Essar steel","595","0","12.9","13.0","-0.1","164","0.0"
"SR","Andhra Pradesh","8730","0","184.9","62.9","-0.5","519","0.0"
"","Telangana","10118","0","226.2","117.3","0.8","757","0.0"
"","Karnataka","10294","0","228.0","82.7","-1.4","409","0.0"
"","Kerala","3802","0","75.7","52.1","2.0","224","0.0"
"","Tamil Nadu","14288","0","334.9","166.4","1.6","613","0.0"
"","Pondy","352","0","7.7","8.0","-0.4","35","0.0"
"ER","Bihar","4464","0","82.3","71.6","1.3","280","0.0"
"","DVC","3323","0","69.6","-55.5","0.3","342","0.0"
"","Jharkhand","1207","0","24.8","14.5","1.4","106","0.2"
"","Odisha","4257","0","84.9","31.0","2.4","357","0.0"
"","West Bengal","8898","0","161.6","40.9","3.1","330","0.0"
"","Sikkim","89","0","1.3","1.3","0.0","30","0.0"
"NER","Arunachal Pradesh","95","2","2.2","1.8","0.4","43","0.0"
"","Assam","1365","66","22.2","17.1","0.6","128","1.1"
"","Manipur","176","1","2.3","2.4","-0.2","19","0.0"
"","Meghalaya","302","2","5.1","3.6","0.1","49","0.0"
"","Mizoram","83","5","1.5","1.2","0.2","19","0.0"
"","Nagaland","132","2","2.0","1.9","0.1","39","0.0"
"","Tripura","233","2","4.0","3.3","0.5","75","0.1"
