"","NR","WR","SR","ER","NER"
"Schedule(MU)","101.1","-82.9","34.2","-58.0","5.0"
"Actual(MU)","129.0","-106.8","37.7","-58.2","7.8"
"O/D/U/D(MU)","27.9","-23.8","3.5","-0.2","2.8"
