"Region","<49.2","<49.7","49.7-49.8","49.8-49.9","<49.9","49.9-50.05","> 50.05"
"NEW GRID","0.00","0.00","3.18","12.28","15.46","59.46","25.08"
"SR GRID","0.00","0.00","3.18","12.28","15.46","59.46","B. Frequency Profile (%)25.08"
