"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","4634","0","84.8","31.9","1.5","225"
"","Haryana","5544","87","101.2","42.5","0.8","321"
"","Rajasthan","9135","0","192.3","74.5","-2.6","77"
"","Delhi","3569","0","64.4","45.0","-0.8","104"
"","UP","9560","2180","175.5","78.2","-9.7","491"
"","Uttarakhand","1423","0","27.9","21.8","-1.9","259"
"","HP","1208","0","24.6","20.2","0.1","86"
"","J&K","1839","100","41.5","32.7","2.8","287"
"","Chandigarh","207","0","3.7","3.1","0.6","55"
"WR","Chhattisgarh","2833","16","63.6","17.6","0.6","257"
"","Gujarat","11418","34","241.7","34.3","2.1","758"
"","MP","7342","27","148.1","72.6","-1.9","677"
"","Maharashtra","16852","223","353.1","111.1","4.0","459"
"","Goa","382","1","7.7","7.4","-0.4","25"
"","DD","226","1","5.6","5.8","-0.1","10"
"","DNH","637","2","15.0","14.5","0.5","40"
"","Essar steel","308","1","6.0","5.5","0.3","85"
"SR","Andhra Pradesh","11588","600","270.0","91.6","6.6","818"
"","Karnataka","8715","500","182.4","20.3","1.6","958"
"","Kerala","3249","150","60.0","26.5","2.6","351"
"","Tamil Nadu","11674","699","246.3","89.0","-1.0","424"
"","Pondy","285","0","5.4","5.9","-0.5","14"
"ER","Bihar","2044","450","41.3","38.9","-0.2","100"
"","DVC","2555","0","57.4","-15.7","-1.7","300"
"","Jharkhand","1062","0","22.1","10.4","-0.2","40"
"","Odisha","3788","0","68.9","16.2","4.5","460"
"","West Bengal","6163","8","102.6","20.6","5.6","560"
"","Sikkim","102","0","2.1","1.4","0.8","25"
"NER","Arunachal Pradesh","112","3","1.4","1.3","0.1","40"
"","Assam","1048","128","18.8","12.9","1.3","229"
"","Manipur","118","4","1.6","1.8","-0.2","44"
"","Meghalaya","254","9","5.3","3.9","0.2","47"
"","Mizoram","79","3","1.2","1.1","-0.1","33"
"","Nagaland","102","3","1.6","1.6","-0.2","18"
"","Tripura","193","1","3.1","0.8","-0.1","23"
