"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","7898","0","161.4","112.7","-8.3","178"
"","Haryana","6295","0","139.5","88.5","-2.8","535"
"","Rajasthan","6568","0","147.6","68.3","-2.8","134"
"","Delhi","4838","0","103.8","79.4","-4.1","103"
"","UP","10397","1320","229.2","103.6","-8.3","391"
"","Uttarakhand","1559","0","27.2","12.7","-2.7","303"
"","HP","1205","0","24.3","5.2","-3.3","115"
"","J&K","1432","100","27.0","15.7","-2.1","208"
"","Chandigarh","285","0","5.8","6.2","-0.3","36"
"WR","Chhattisgarh","2516","11","58.3","16.0","-0.8","338"
"","Gujarat","10127","30","224.3","54.3","4.3","630"
"","MP","5666","10","115.4","58.9","-2.1","356"
"","Maharashtra","14732","82","325.0","88.6","5.3","700"
"","Goa","336","1","6.9","7.2","-0.7","59"
"","DD","254","0","6.0","5.6","0.4","46"
"","DNH","570","1","13.2","14.5","-1.4","39"
"SR","Andhra Pradesh","10046","1000","218.5","71.3","3.5","361"
"","Karnataka","6801","500","138.6","20.6","-0.6","225"
"","Kerala","2460","450","47.3","32.6","2.4","302"
"","Tamil Nadu","11088","566","247.4","59.8","-0.4","536"
"","Pondy","302","30","6.6","6.6","0.0","36"
"ER","Bihar","1968","0","42.9","43.0","-0.1","140"
"","DVC","2616","0","49.8","-22.2","-3.1","150"
"","Jharkhand","953","0","18.9","14.0","-2.7","20"
"","Odisha","3510","0","68.5","14.8","5.8","380"
"","West Bengal","6916","18","134.6","38.3","4.2","250"
"","Sikkim","85","0","1.2","1.2","0.0","0"
"NER","Arunachal Pradesh","98","2","1.3","1.2","0.0","69"
"","Assam","1106","151","23.6","13.6","4.4","244"
"","Manipur","101","4","1.5","1.7","-0.2","26"
"","Meghalaya","248","12","4.1","1.0","-0.5","59"
"","Mizoram","55","1","1.0","0.9","0.1","7"
"","Nagaland","89","1","1.5","1.2","-0.1","32"
"","Tripura","204","22","2.6","0.8","0.2","89"
