"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","8105","0","180.6","120.9","0.2","184"
"","Haryana","7068","0","157.4","108.5","-3.0","213"
"","Rajasthan","6471","0","143.4","49.0","-4.7","0"
"","Delhi","4318","0","85.9","72.1","-6.1","95"
"","UP","10931","1280","236.1","121.3","-5.0","392"
"","Uttarakhand","1341","110","34.5","16.3","0.9","235"
"","HP","1067","0","22.9","2.1","-2.7","12"
"","J&K","1662","100","24.6","16.4","-5.7","83"
"","Chandigarh","245","0","5.1","5.7","-0.6","3"
"WR","Chhattisgarh","2838","17","64.9","27.5","-0.1","389"
"","Gujarat","9299","37","207.6","46.2","6.0","351"
"","MP","5503","10","110.8","36.5","-2.8","293"
"","Maharashtra","13540","77","289.3","74.4","7.1","441"
"","Goa","357","1","7.0","6.4","0.2","57"
"","DD","255","0","6.1","5.5","0.6","47"
"","DNH","515","1","12.4","12.4","0.0","58"
"","Essar steel","482","16","10.7","10.8","-0.1","0"
"SR","Andhra Pradesh","9460","600","207.2","84.5","-1.8","354"
"","Karnataka","6736","600","132.5","8.3","-2.0","390"
"","Kerala","2779","75","51.2","26.6","0.9","187"
"","Tamil Nadu","10346","591","238.8","77.8","2.5","592"
"","Pondy","291","0","6.0","6.6","-0.6","26"
"ER","Bihar","2091","300","44.0","45.5","-1.4","40"
"","DVC","2659","0","59.9","-23.8","3.1","560"
"","Jharkhand","1300","0","20.5","14.2","-0.8","40"
"","Odisha","3222","200","66.7","15.6","4.0","420"
"","West Bengal","6388","13","130.1","40.0","5.9","590"
"","Sikkim","65","0","1.2","0.4","0.8","10"
"NER","Arunachal Pradesh","102","3","1.1","1.6","-0.5","35"
"","Assam","1032","198","22.4","14.8","2.8","250"
"","Manipur","110","6","1.4","2.3","-0.9","8"
"","Meghalaya","254","6","4.3","0.4","-0.3","118"
"","Mizoram","55","1","1.0","1.0","0.0","23"
"","Nagaland","87","5","1.3","1.4","-0.4","20"
"","Tripura","185","40","3.2","1.6","-0.2","47"
