"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","5945","0","126.1","72.0","0.6","508"
"","Haryana","5730","0","119.7","75.5","-2.9","207"
"","Rajasthan","7565","0","166.0","44.8","2.4","442"
"","Delhi","4011","0","84.0","68.5","-0.2","195"
"","UP","12088","985","253.9","114.5","-0.1","334"
"","Uttarakhand","1477","75","30.7","18.5","-0.6","142"
"","HP","1117","0","23.3","6.4","0.1","97"
"","J&K","798","100","14.6","16.5","0.7","0"
"","Chandigarh","225","0","4.7","4.5","0.2","37"
"WR","Chhattisgarh","2771","49","61.3","17.9","-4.3","349"
"","Gujarat","12292","0","272.4","48.9","-1.3","426"
"","MP","6632","0","143.6","78.8","-0.9","439"
"","Maharashtra","17346","151","387.2","124.2","2.7","635"
"","Goa","398","0","7.6","8.1","-0.8","55"
"","DD","271","0","5.8","5.9","-0.1","15"
"","DNH","647","0","15.3","15.2","0.0","12"
"","Essar steel","481","0","9.6","9.5","0.1","85"
"SR","Andhra Pradesh","10919","1500","227.3","93.6","3.1","427"
"","Karnataka","7323","300","159.4","21.2","0.9","410"
"","Kerala","3088","400","60.0","36.7","2.0","210"
"","Tamil Nadu","11820","686","261.7","78.7","3.7","361"
"","Pondy","308","0","6.6","6.6","0.1","24"
"ER","Bihar","2221","450","46.5","43.7","0.3","80"
"","DVC","2706","0","57.2","-12.7","0.6","300"
"","Jharkhand","988","0","20.6","11.5","0.2","40"
"","Odisha","3616","0","70.1","22.4","-4.0","70"
"","West Bengal","6617","14","128.6","30.1","4.6","550"
"","Sikkim","88","0","1.6","1.0","0.7","20"
"NER","Arunachal Pradesh","77","16","1.4","1.0","0.4","39"
"","Assam","923","359","17.6","11.0","2.5","250"
"","Manipur","87","20","1.5","1.1","0.4","38"
"","Meghalaya","248","5","3.9","1.8","0.1","57"
"","Mizoram","68","7","1.1","0.8","0.0","40"
"","Nagaland","94","8","1.4","1.2","0.0","35"
"","Tripura","203","5","3.3","0.9","0.2","22"
