"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","5510","0","104.8","40.7","0.8","321"
"","Haryana","5644","276","115.4","61.5","1.4","279"
"","Rajasthan","9613","0","207.4","59.8","-0.9","985"
"","Delhi","3139","0","59.0","40.0","0.9","243"
"","UP","16313","2200","223.7","83.2","-1.7","380"
"","Uttarakhand","1679","150","33.2","25.7","0.6","157"
"","HP","1378","0","25.7","20.0","0.8","173"
"","J&K","2030","511","42.2","34.1","2.5","251"
"","Chandigarh","191","0","3.5","3.3","0.2","6"
"WR","Chhattisgarh","3045","18","63.1","13.9","-0.9","245"
"","Gujarat","12022","34","265.7","34.9","-2.9","380"
"","MP","9917","0","205.9","119.2","-1.1","288"
"","Maharashtra","19194","68","402.6","130.9","1.7","667"
"","Goa","416","0","8.2","7.0","0.6","39"
"","DD","262","0","5.8","6.0","-0.2","24"
"","DNH","674","0","15.5","15.4","0.4","27"
"","Essar steel","402","0","8.4","8.0","0.4","197"
"SR","Andhra Pradesh","5888","7","137.7","27.4","4.7","489"
"","Telangana","5962","36","123.5","69.0","0.7","326"
"","Karnataka","8967","450","180.5","32.5","2.1","450"
"","Kerala","3114","125","58.3","38.0","2.7","255"
"","Tamil Nadu","10878","953","242.7","78.8","-0.8","455"
"","Pondy","289","0","6.2","6.1","0.1","17"
"ER","Bihar","2542","200","51.9","51.5","-2.6","185"
"","DVC","2256","0","52.5","-17.9","0.0","275"
"","Jharkhand","945","0","19.3","12.2","0.5","125"
"","Odisha","3402","0","63.9","21.5","3.4","425"
"","West Bengal","6110","11","103.5","14.1","2.0","345"
"","Sikkim","100","0","1.9","1.5","0.4","32"
"NER","Arunachal Pradesh","103","6","1.8","1.4","0.4","45"
"","Assam","1198","44","20.9","13.7","1.6","155"
"","Manipur","126","6","2.2","2.2","0.0","48"
"","Meghalaya","283","1","4.7","4.1","-0.4","56"
"","Mizoram","82","4","1.2","1.0","0.2","20"
"","Nagaland","121","4","2.3","1.6","0.2","26"
"","Tripura","199","0","2.7","0.7","-0.1","23"
