"","NR","WR","SR","ER","NER"
"Schedule(MU)","103.2","-91.4","29.9","-51.1","5.7"
"Actual(MU)","98.2","-100.3","36.7","-43.5","6.2"
"O/D/U/D(MU)","-5.0","-8.9","6.8","7.6","0.5"
