"","NR","WR","SR","ER","NER","Total"
"Demand Met during Evening Peak hrs(MW) (at 2000 hrs; from RLDCs)","46610","40537","34116","16852","2452","140568"
"Peak Shortage (MW)","741","48","27","0","117","932"
"Energy Met (MU)","1055","1038","792","374","44","3303"
"Hydro Gen(MU)","312","22","15","63","14","426"
"Wind Gen(MU)","39","130","117","----------","----------","285"
"Solar Gen (MU)*","3.47","12.92","20.30","1.25","0.03","38"
"Energy Shortage (MU)","8.5","0.0","0.0","0.0","0.8","9.3"
"Maximum Demand Met during the day (MW) (from NLDC SCADA)","51715","46105","34415","18682","2556","149515"
