"Region","<49.2","<49.7","49.7-49.8","49.8-49.9","<49.9","49.9-50.05","> 50.05"
"NEW GRID","0.00","0.80","4.93","24.86","30.60","55.01","14.39"
"SR GRID","0.00","0.80","4.93","24.86","30.60","55.01","B. Frequency Profile (%)14.39"
