"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","5482","0","105.8","45.5","3.1","299"
"","Haryana","6191","0","113.8","51.3","0.1","370"
"","Rajasthan","9806","0","207.7","74.4","7.6","589"
"","Delhi","3156","0","58.6","39.3","-1.6","92"
"","UP","10176","3390","219.5","91.2","-0.5","289"
"","Uttarakhand","1748","80","32.5","23.8","1.5","164"
"","HP","1349","0","24.8","18.8","0.5","124"
"","J&K","1955","0","41.0","32.1","2.5","238"
"","Chandigarh","189","0","3.4","3.3","0.1","24"
"WR","Chhattisgarh","2998","18","62.3","7.7","0.5","319"
"","Gujarat","12366","0","278.9","57.8","-2.6","296"
"","MP","9650","0","205.3","122.7","-1.3","446"
"","Maharashtra","18586","115","393.1","104.6","2.5","594"
"","Goa","409","0","7.6","7.2","-0.1","21"
"","DD","253","0","5.8","5.9","-0.1","8"
"","DNH","657","0","14.1","14.7","-0.5","88"
"","Essar steel","401","0","8.3","8.7","-0.4","25"
"SR","Andhra Pradesh","5969","0","131.3","25.8","0.5","318"
"","Telangana","5753","0","121.1","65.7","3.6","276"
"","Karnataka","7955","900","168.9","20.5","2.9","434"
"","Kerala","3251","125","59.2","34.0","2.9","262"
"","Tamil Nadu","10756","1932","237.9","66.8","2.1","387"
"","Pondy","305","0","5.9","5.8","0.0","25"
"ER","Bihar","2488","350","48.7","51.1","-4.4","50"
"","DVC","2345","0","56.3","-18.8","-0.6","100"
"","Jharkhand","1035","0","20.4","10.4","-0.9","40"
"","Odisha","3523","0","61.4","23.0","1.3","350"
"","West Bengal","6270","0","101.5","10.5","2.7","360"
"","Sikkim","97","0","1.6","1.6","0.0","20"
"NER","Arunachal Pradesh","116","2","1.9","1.5","0.4","45"
"","Assam","1189","77","21.3","13.4","3.2","197"
"","Manipur","134","1","2.3","2.3","0.1","48"
"","Meghalaya","309","3","5.0","4.0","-0.5","47"
"","Mizoram","76","2","1.2","1.0","0.2","30"
"","Nagaland","109","1","2.2","1.5","0.1","28"
"","Tripura","200","0","2.7","0.4","-0.2","35"
