"","NR","WR","SR","ER","NER"
"Schedule(MU)","103.2","-84.8","33.8","-59.7","6.5"
"Actual(MU)","109.0","-97.7","37.1","-60.3","9.4"
"O/D/U/D(MU)","5.8","-12.9","3.3","-0.6","2.9"
