"","NR","WR","SR","ER","NER"
"Schedule(MU)","128.7","-89.0","37.6","-83.5","5.9"
"Actual(MU)","118.4","-84.6","38.1","-76.0","4.4"
"O/D/U/D(MU)","-10.3","4.4","0.5","7.5","-1.5"
