"","NR","WR","SR","ER","NER","All India"
"Coal","650","1259","527","465","9","2910"
"Lignite","21","18","38","0","0","77"
"Hydro","331","14","60","94","18","516"
"Nuclear","27","28","52","0","0","107"
"Gas, Naptha & Diesel","41","57","15","0","29","142"
"RES (Wind, Solar, Biomass & Others)","52","99","191","3","0","344"
"Total","1122","1474","883","562","55","4096"
