"","NR","WR","SR","ER","NER","All India"
"Thermal (Coal & Lignite)","538","1239","510","393","8","2687"
"Hydro","118","22","70","36","8","253"
"Nuclear","25","19","36","0","0","80"
"Gas, Naptha & Diesel","21","38","24","0","30","113"
"RES (Wind, Solar, Biomass & Others)","53","41","143","1","0","237"
"Total","754","1359","782","429","46","3370"
