"Region","<49.2","49.2-49.5","49.5-49.7","49.7-49.8","<49.7","49.7-50.2","> 50.2"
"NEW GRID","0","0.1","3.2","7.1","3.3","92.2","4.5"
"SR GRID","0","0.0","8.1","31.8","8.1","90.0","1.9"
