"Region","FVI","<49.7","49.7-49.8","49.8-49.9","<49.9","49.9-50.05","> 50.05"
"NEW GRID","0.037","0.00","0.02","4.51","4.54","72.84","22.63"
"SR GRID","0.037","0.00","0.02","4.51","4.54","72.84","22.63"
