"Share of RES in total generation (%)","8.04","3.56","17.43","0.20","0.10","7.35"
"Share of Non-fossil fuel (Hydro, Nuclear and RES) in total generation (%)","27.39","6.75","30.26","6.16","16.80","17.08"
