"","NR","WR","SR","ER","NER","All India"
"Thermal (Coal & Lignite)","537","1110","494","392","8","2540"
"Hydro","143","9","62","38","9","261"
"Nuclear","25","30","41","0","0","96"
"Gas, Naptha & Diesel","24","39","24","0","29","116"
"RES (Wind, Solar, Biomass & Others)","42","43","142","1","0","228"
"Total","771","1231","763","431","45","3241"
