"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","8538","400","190.0","119.6","1.0","713"
"","Haryana","7367","0","168.1","107.1","-3.3","216"
"","Rajasthan","6825","0","156.9","57.2","-8.3","66"
"","Delhi","5048","7","104.1","76.3","-3.3","415"
"","UP","10502","950","217.8","109.7","-2.5","216"
"","Uttarakhand","1486","145","30.7","18.0","2.4","233"
"","HP","1156","0","24.1","2.0","-1.3","205"
"","J&K","1324","100","25.9","13.6","-1.1","242"
"","Chandigarh","266","0","5.5","5.7","-0.2","19"
"WR","Chhattisgarh","2319","317","54.6","16.8","0.6","324"
"","Gujarat","10075","16","223.6","43.7","-1.7","355"
"","MP","5003","5","97.9","50.7","-3.1","302"
"","Maharashtra","14142","85","308.3","97.3","2.0","444"
"","Goa","357","23","7.9","5.9","1.4","42"
"","DD","259","0","6.1","5.6","0.5","45"
"","DNH","615","1","14.3","12.6","1.7","37"
"SR","Andhra Pradesh","10225","800","229.0","83.8","2.6","391"
"","Karnataka","7116","600","143.9","15.4","0.8","214"
"","Kerala","2862","150","52.3","27.6","2.6","259"
"","Tamil Nadu","11732","591","263.3","68.2","-0.8","239"
"","Pondy","312","20","6.6","7.0","-0.4","21"
"ER","Bihar","1877","0","39.7","44.0","-4.3","0"
"","DVC","2563","0","55.0","-21.4","-3.2","340"
"","Jharkhand","790","122","17.5","16.4","0.1","0"
"","Odisha","3574","0","71.9","14.8","3.3","400"
"","West Bengal","6786","13","129.4","41.7","8.0","260"
"","Sikkim","84","0","1.1","0.6","0.5","10"
"NER","Arunachal Pradesh","100","5","1.2","2.4","-1.2","1"
"","Assam","1106","164","21.4","16.0","-0.2","86"
"","Manipur","103","2","1.5","2.5","-1.0","1"
"","Meghalaya","251","4","4.6","0.3","-0.3","76"
"","Mizoram","60","5","1.0","1.4","-0.4","1"
"","Nagaland","92","3","1.5","1.8","-0.6","10"
"","Tripura","205","0","3.0","1.7","-0.2","50"
