"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","6991","0","158.7","54.8","-0.1","203","0.0"
"","Haryana","7436","0","155.0","84.9","2.4","221","0.0"
"","Rajasthan","9575","465","205.1","78.2","1.5","262","2.0"
"","Delhi","4512","6","95.7","71.4","-1.3","94","0.0"
"","UP","15710","0","355.3","176.1","1.6","239","10.8"
"","Uttarakhand","1888","0","35.9","12.3","0.0","153","0.0"
"","HP","1329","0","25.5","10.6","1.9","209","0.2"
"","J&K","2222","555","41.3","30.8","-1.5","189","9.7"
"","Chandigarh","229","0","4.7","4.8","-0.1","21","0.0"
"WR","Chhattisgarh","3667","0","81.7","19.3","-1.5","150","0.0"
"","Gujarat","15333","0","349.0","123.3","2.5","235","0.0"
"","MP","8728","0","192.6","123.5","3.3","413","0.0"
"","Maharashtra","17564","0","381.9","130.3","-3.1","514","0.0"
"","Goa","476","0","9.8","9.6","0.2","64","0.0"
"","DD","335","0","7.6","6.4","1.2","71","0.0"
"","DNH","754","0","17.0","16.4","0.6","110","0.0"
"","Essar steel","246","0","4.7","5.4","-0.7","124","0.0"
"SR","Andhra Pradesh","6775","0","141.7","31.6","-1.1","385","0.0"
"","Telangana","6913","0","148.6","34.2","-4.1","475","0.0"
"","Karnataka","6961","0","140.3","50.1","0.6","531","0.0"
"","Kerala","3543","0","68.8","45.0","1.4","226","0.0"
"","Tamil Nadu","13338","0","287.6","146.0","0.4","646","0.0"
"","Pondy","353","0","7.3","7.6","-0.2","29","0.0"
"ER","Bihar","4311","0","77.2","66.5","3.3","450","0.0"
"","DVC","2782","0","62.2","-16.5","0.3","400","0.0"
"","Jharkhand","1057","0","22.4","16.4","0.8","130","0.0"
"","Odisha","4503","0","86.9","38.5","2.4","490","0.0"
"","West Bengal","8125","0","142.1","38.3","5.6","450","0.0"
"","Sikkim","101","0","1.2","1.1","0.1","20","0.0"
"NER","Arunachal Pradesh","103","2","2.6","2.4","0.2","7","0.1"
"","Assam","1750","73","31.5","24.7","1.4","141","0.6"
"","Manipur","158","4","2.1","2.3","-0.1","20","0.0"
"","Meghalaya","261","0","5.6","-1.2","1.5","126","0.0"
"","Mizoram","75","1","1.4","1.2","0.1","15","0.1"
"","Nagaland","104","1","2.5","1.6","0.4","23","0.0"
"","Tripura","284","0","4.7","3.7","0.3","90","0.0"
