"","NR","WR","SR","ER","NER"
"Schedule(MU)","68.4","-36.7","48.5","-87.1","6.4"
"Actual(MU)","64.2","-47.3","47.5","-71.7","9.9"
"O/D/U/D(MU)","-4.2","-10.6","-1.0","15.4","3.5"
