"Region","<49.2","<49.7","49.7-49.8","49.8-49.9","<49.9","49.9-50.05","> 50.05"
"NEW GRID","0.00","0.00","0.54","9.56","10.10","73.94","15.96"
"SR GRID","0.00","0.00","0.54","9.56","10.10","73.94","15.96"
