"","NR","WR","SR","ER","NER","Total"
"Demand Met during Evening Peak hrs(MW)","44367","38135","33851","16046","2012","134411"
"Peak Shortage (MW)","3266","297","300","298","319","4480"
"Energy Met (MU)","1018","876","792","336","39","3061"
"Hydro Gen(MU)","296","30","54","73","22","475"
"Wind Gen(MU)","3","40","89","----------","----------","132"
