"","NR","WR","SR","ER","NER"
"Schedule(MU)","66.1","-53.5","46.8","-71.3","9.7"
"Actual(MU)","62.7","-52.8","46.3","-67.1","9.8"
"O/D/U/D(MU)","-3.4","0.7","-0.5","4.2","0.1"
