"","NR","WR","SR","ER","NER"
"Schedule(MU)","79.7","-63.9","42.2","-72.8","4.9"
"Actual(MU)","77.8","-54.6","41.4","-64.5","1.0"
"O/D/U/D(MU)","-1.9","9.4","-0.8","8.3","-3.9"
