"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","9110","0","190.0","111.0","-1.7","256","0.0"
"","Haryana","8185","0","174.0","117.1","1.2","245","0.0"
"","Rajasthan","9034","0","194.2","61.5","1.7","354","0.0"
"","Delhi","5401","0","106.2","88.4","-0.7","154","0.1"
"","UP","16593","1000","367.0","187.5","2.0","439","2.0"
"","Uttarakhand","1823","0","38.0","11.8","-0.4","114","0.0"
"","HP","1342","0","25.9","0.6","0.1","87","0.0"
"","J&K","1946","487","38.7","13.3","-0.6","147","9.2"
"","Chandigarh","237","0","4.7","5.6","-0.9","0","0.0"
"WR","Chhattisgarh","3706","0","85.7","22.9","-0.9","147","0.0"
"","Gujarat","12537","0","278.8","59.4","-0.9","364","0.0"
"","MP","7510","0","164.7","91.4","-0.6","396","0.0"
"","Maharashtra","16550","0","360.3","93.4","-2.8","326","0.0"
"","Goa","302","0","6.7","7.0","-0.3","55","0.0"
"","DD","296","0","6.4","6.1","0.3","84","0.0"
"","DNH","728","0","16.5","16.3","0.1","176","0.0"
"","Essar steel","411","0","7.4","7.0","0.4","172","0.0"
"SR","Andhra Pradesh","6154","0","137","17","1.3","403","0.0"
"","Telangana","7371","0","153","83","-2.5","535","0.0"
"","Karnataka","7307","0","147","56","0.0","512","0.0"
"","Kerala","3398","0","68","48","1.9","325","0.0"
"","Tamil Nadu","11933","0","273","104","1.7","525","0.0"
"","Pondy","313","0","7","7","-0.5","8","0.0"
"ER","Bihar","4318","0","79.6","75.4","1.7","200","0.0"
"","DVC","2886","0","64.3","-19.3","1.3","225","0.0"
"","Jharkhand","1231","0","24.7","17.7","-0.7","94","0.0"
"","Odisha","4185","0","85.1","25.1","1.0","225","0.6"
"","West Bengal","8367","0","153.7","58.7","3.3","220","0.0"
"","Sikkim","92","0","1.2","1.4","-0.2","10","0.0"
"NER","Arunachal Pradesh","112","0","2.0","2.1","-0.1","20","0.1"
"","Assam","1645","92","31.7","24.6","1.7","356","0.9"
"","Manipur","128","2","2.1","2.2","-0.1","96","0.1"
"","Meghalaya","259","0","4.6","-1.7","-0.3","45","0.0"
"","Mizoram","65","0","1.2","1.2","-0.2","25","0.0"
"","Nagaland","109","1","2.3","1.7","0.3","41","0.0"
"","Tripura","226","8","4.7","2.9","0.5","142","0.3"
