"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","9896","0","212.0","118.5","-1.1","132"
"","Haryana","7270","13","160.0","105.6","-0.8","219"
"","Rajasthan","8845","0","197.1","52.3","0.7","224"
"","Delhi","5448","0","117.4","85.4","-0.6","256"
"","UP","11922","1760","276.4","119.5","0.0","234"
"","Uttarakhand","1714","75","35.4","18.1","0.6","190"
"","HP","1241","0","23.1","-4.9","5.7","724"
"","J&K","1458","100","13.0","14.4","-1.4","156"
"","Chandigarh","335","0","6.5","5.3","1.2","98"
"WR","Chhattisgarh","2698","267","58.2","14.4","-1.8","281"
"","Gujarat","12255","76","269.4","45.4","-0.8","528"
"","MP","6160","50","132.8","65.1","-1.8","213"
"","Maharashtra","18218","216","400.3","107.7","0.5","407"
"","Goa","393","3","8.7","8.2","0.1","38"
"","DD","291","2","6.4","6.5","-0.2","5"
"","DNH","636","5","15.0","15.2","-0.2","42"
"","Essar steel","445","4","9.5","0.0","9.5","11"
"SR","Andhra Pradesh","5510","500","127.0","19.3","-7.2","508"
"","Telangana","4847","300","121.8","72.0","-1.6","218"
"","Karnataka","7440","550","165.0","30.0","1.0","319"
"","Kerala","2893","550","55.5","35.8","1.5","271"
"","Tamil Nadu","13081","0","293.3","83.0","-0.3","394"
"","Pondy","334","0","7.3","7.2","0.1","34"
"ER","Bihar","2356","500","46.4","44.4","-0.4","190"
"","DVC","2550","0","57.8","-24.3","-1.1","180"
"","Jharkhand","833","0","19.1","9.6","-1.7","0"
"","Odisha","3414","0","71.1","19.4","1.2","170"
"","West Bengal","6803","18","144.9","34.6","5.9","410"
"","Sikkim","80","0","1.3","1.2","0.1","20"
"NER","Arunachal Pradesh","105","13","1.6","1.4","0.2","42"
"","Assam","1100","282","22.9","15.1","3.8","174"
"","Manipur","111","6","1.5","1.6","-0.1","18"
"","Meghalaya","263","18","4.3","1.8","-0.3","75"
"","Mizoram","69","8","1.1","1.0","-0.2","23"
"","Nagaland","108","4","1.6","1.6","-0.2","31"
"","Tripura","170","55","2.8","1.4","-0.6","49"
