"","NR","WR","SR","ER","NER"
"Schedule(MU)","83.0","-49.8","54.9","-97.0","4.9"
"Actual(MU)","77.0","-47.4","54.4","-88.2","-0.4"
"O/D/U/D(MU)","-6.0","2.4","-0.5","8.8","-5.3"
