"","NR","WR","SR","ER","NER","Total"
"Demand Met during Evening Peak hrs(MW)","43241","41613","35486","16458","2126","138924"
"Peak Shortage (MW)","2794","20","125","0","158","3097"
"Energy Met (MU)","981","1017","834","372","37","3242"
"Hydro Gen(MU)","308","27","32","22","9","398"
"Wind Gen(MU)","7","28","13","----------","----------","47"
