"","NR","WR","SR","ER","NER"
"Schedule(MU)","127.9","-92.8","38.1","-78.6","3.1"
"Actual(MU)","113.2","-87.3","38.0","-66.1","7.0"
"O/D/U/D(MU)","-14.7","5.5","-0.1","12.4","3.9"
