"","NR","WR","SR","ER","NER"
"Schedule(MU)","99.5","-74.6","36.7","-72.9","7.1"
"Actual(MU)","102.1","-83.2","35.4","-61.6","10.0"
"O/D/U/D(MU)","2.6","-8.6","-1.3","11.3","2.9"
