"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","5907","0","118.3","53.4","-0.6","174","0.0"
"","Haryana","5870","100","120.6","82.9","2.0","256","0.1"
"","Rajasthan","8985","0","188.3","60.8","1.3","441","0.0"
"","Delhi","3472","0","73.2","59.8","0.1","107","0.0"
"","UP","13572","253","305.8","127.3","3.7","640","16.1"
"","Uttarakhand","1588","0","28.4","12.5","-0.2","104","0.0"
"","HP","1070","0","12.3","8.1","0.5","144","0.0"
"","J&K","1913","478","37.7","31.7","-1.6","92","8.9"
"","Chandigarh","184","0","3.3","4.2","-0.9","0","0.0"
"WR","Chhattisgarh","3440","0","76.7","25.4","-0.8","105","0.0"
"","Gujarat","10391","0","238.0","71.1","-1.2","693","0.0"
"","MP","9663","0","211.4","143.6","1.1","563","0.0"
"","Maharashtra","15638","0","347.7","105.0","4.7","317","0.0"
"","Goa","460","0","9.2","9.4","-0.2","49","0.0"
"","DD","207","0","4.4","3.5","0.9","37","0.0"
"","DNH","644","0","13.8","13.0","0.8","82","0.0"
"","Essar steel","466","0","8.9","9.1","-0.2","177","0.0"
"SR","Andhra Pradesh","7041","0","152.8","59.7","1.4","436","0.0"
"","Telangana","7381","0","158.6","57.9","-0.3","305","0.0"
"","Karnataka","7059","0","138.5","50.8","1.2","494","0.0"
"","Kerala","3345","0","66.2","43.0","1.2","193","0.0"
"","Tamil Nadu","12267","0","265.0","137.7","2.5","423","0.0"
"","Pondy","353","0","7.4","7.3","0.1","54","0.0"
"ER","Bihar","4380","0","73.3","66.5","-1.5","150","0.0"
"","DVC","2998","0","62.8","-18.9","0.3","150","0.0"
"","Jharkhand","1160","0","19.7","11.1","-1.5","50","0.0"
"","Odisha","4547","0","85.2","40.8","3.9","200","0.0"
"","West Bengal","6753","0","117.1","29.9","0.6","250","0.0"
"","Sikkim","67","0","1.0","1.3","-0.4","10","0.0"
"NER","Arunachal Pradesh","108","0","2.3","2.2","0.1","7","0.1"
"","Assam","1061","0","20.6","17.4","-2.1","141","0.8"
"","Manipur","142","1","2.5","2.5","0.0","20","0.1"
"","Meghalaya","193","0","4.5","-0.5","-1.1","126","0.0"
"","Mizoram","82","1","1.2","1.3","-0.2","15","0.1"
"","Nagaland","105","0","2.5","1.8","0.1","23","0.1"
"","Tripura","185","69","2.3","2.7","-1.8","90","0.5"
