"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","9835","0","219.3","125.6","0.4","104"
"","Haryana","7154","13","153.7","109.8","-2.7","212"
"","Rajasthan","8829","0","201.0","58.1","-2.7","95"
"","Delhi","5390","0","114.4","84.8","0.5","250"
"","UP","11749","1745","263.6","124.7","0.6","390"
"","Uttarakhand","1718","0","38.5","19.9","1.2","215"
"","HP","1241","0","25.4","0.5","0.3","132"
"","J&K","1376","100","27.3","16.1","-0.7","90"
"","Chandigarh","352","0","6.8","5.4","1.4","93"
"WR","Chhattisgarh","2626","77","59.3","15.9","-2.7","171"
"","Gujarat","11899","77","263.6","41.0","-2.7","590"
"","MP","6262","63","141.7","74.7","-1.7","570"
"","Maharashtra","18129","180","404.3","110.6","-0.4","1133"
"","Goa","403","4","8.6","8.2","0.0","33"
"","DD","278","3","6.2","6.6","-0.4","58"
"","DNH","641","7","15.1","15.2","-0.1","31"
"","Essar steel","432","3","9.4","9.7","-0.4","11"
"SR","Andhra Pradesh","5605","800","122.9","14.5","-1.2","413"
"","Telangana","5304","600","122.4","69.3","3.4","1210"
"","Karnataka","7522","900","164.0","28.9","1.6","291"
"","Kerala","2928","650","58.0","36.9","2.1","263"
"","Tamil Nadu","13661","0","297.6","82.0","0.3","378"
"","Pondy","338","0","7.1","7.1","0.0","38"
"ER","Bihar","2187","0","47.7","45.1","-0.3","235"
"","DVC","2547","0","57.9","-24.3","-0.5","387"
"","Jharkhand","963","0","20.6","9.5","-1.3","58"
"","Odisha","3301","0","75.7","18.4","-1.6","412"
"","West Bengal","7363","14","143.3","35.2","1.6","475"
"","Sikkim","85","0","1.3","1.2","0.0","32"
"NER","Arunachal Pradesh","107","8","1.5","1.3","0.2","42"
"","Assam","899","456","23.7","14.8","4.4","257"
"","Manipur","107","9","1.5","1.6","-0.1","20"
"","Meghalaya","225","18","3.6","1.9","-0.1","127"
"","Mizoram","71","5","1.0","1.0","-0.2","16"
"","Nagaland","97","9","1.5","1.6","-0.2","29"
"","Tripura","197","46","3.3","1.3","-0.2","58"
