"Share of RES in total generation (%)","8.98","9.20","15.97","0.17","0.09","9.47"
"Share of Non-fossil fuel (Hydro, Nuclear and RES) in total generation (%)","28.08","12.50","27.89","6.73","15.75","19.03"
