"Region","<49.2","49.2-49.5","49.5-49.7","49.7-49.8","<49.7","49.7-50.2","> 50.2"
"NEW GRID","0.0","0.0","0.6","3.1","0.6","94.5","4.9"
"SR GRID","0.0","0.0","0.7","4.8","0.7","87.4","11.9"
