"Region","<49.2","49.2-49.5","49.5-49.7","49.7-49.8","<49.7","49.7-50.2","> 50.2"
"NEW GRID","0","0.8","6.4","20.8","7.2","92.0","0.8"
"SR GRID","0","0.3","8.0","37.4","8.3","89.7","2.1"
