"Region","<49.2","49.2-49.5","49.5-49.7","49.7-49.8","<49.7","49.7-50.2","> 50.2"
"NEW GRID","0.0","0.0","0.4","4.4","0.4","94.5","5.1"
"SR GRID","0.0","0.0","2.4","12.6","2.4","89.9","7.7"
