"","NR","WR","SR","ER","NER","TOTAL"
"Schedule(MU)","202.1","-221.5","87.3","-68.7","-0.3","-1.1"
"Actual(MU)","188.0","-207.3","86.7","-61.4","-1.1","4.8"
"O/D/U/D(MU)","-14.2","14.1","-0.6","7.3","-0.8","5.9"
