"Region","<49.2","<49.7","49.7-49.8","49.8-49.9","<49.9","49.9-50.05","> 50.05"
"NEW GRID","0.0","0.4","6.8","29.3","36.5","53.2","10.3"
"SR GRID","0.0","0.4","6.8","29.3","36.5","53.2","10.3"
