"","NR","WR","SR","ER","NER"
"Schedule(MU)","96.0","-100.3","36.2","-36.0","6.2"
"Actual(MU)","94.0","-109.9","39.5","-36.7","10.5"
"O/D/U/D(MU)","-2.0","-9.7","3.3","-0.7","4.3"
