"","NR","WR","SR","ER","NER","Total"
"Demand Met during Evening Peak hrs(MW)","37900","39263","34179","14869","2066","128277"
"Peak Shortage (MW)","2469","230","1223","150","219","4291"
"Energy Met (MU)","799","919","797","310","36","2861"
"Hydro Gen(MU)","94","44","73","20","5","236"
"Wind Gen(MU)","7","30","28","----------","----------","66"
