"","NR","WR","SR","ER","NER","TOTAL"
"Schedule(MU)","174.2","-138.0","50.7","-76.7","-8.1","2.1"
"Actual(MU)","185.4","-153.0","44.5","-72.4","-6.5","-2.0"
"O/D/U/D(MU)","11.2","-15.0","-6.2","4.4","1.6","-4.0"
