"","NR","WR","SR","ER","NER"
"Schedule(MU)","129.8","-96.4","44.7","-81.2","2.0"
"Actual(MU)","106.9","-90.2","44.8","-64.1","1.9"
"O/D/U/D(MU)","-22.9","6.2","0.1","17.1","-0.1"
