"Region","<49.2","<49.7","49.7-49.8","49.8-49.9","<49.9","49.9-50.05","> 50.05"
"NEW GRID","0.00","0.00","0.16","3.54","3.70","69.83","26.47"
"SR GRID","0.00","0.00","0.16","3.54","3.70","69.83","26.47"
